q1,q2,q3,q4
0.076140,-0.072982,-0.872665,0.872665
0.077717,-0.071406,-0.872665,0.872665
0.079286,-0.069837,-0.872665,0.872665
0.080846,-0.068279,-0.872665,0.872665
0.082392,-0.066734,-0.872665,0.872665
0.083921,-0.065207,-0.872665,0.872665
0.085430,-0.063700,-0.872665,0.872665
0.086916,-0.062218,-0.872665,0.872665
0.088374,-0.060763,-0.872665,0.872665
0.089801,-0.059339,-0.872665,0.872665
0.091193,-0.057949,-0.872665,0.872665
0.092548,-0.056598,-0.872665,0.872665
0.093861,-0.055289,-0.872665,0.872665
0.095128,-0.054025,-0.872665,0.872665
0.096346,-0.052811,-0.872665,0.872665
0.097512,-0.051650,-0.872665,0.872665
0.098518,-0.050492,-0.872665,0.872665
0.099259,-0.049289,-0.872665,0.872665
0.099731,-0.048047,-0.872665,0.872665
0.099932,-0.046770,-0.872665,0.872665
0.099861,-0.045464,-0.872665,0.872665
0.099518,-0.044133,-0.872665,0.872665
0.098905,-0.042782,-0.872665,0.872665
0.098026,-0.041414,-0.872665,0.872665
0.096886,-0.040033,-0.872665,0.872665
0.095491,-0.038643,-0.872665,0.872665
0.093849,-0.037246,-0.872665,0.872665
0.091969,-0.035846,-0.872665,0.872665
0.089862,-0.034446,-0.872665,0.872665
0.087539,-0.033047,-0.872665,0.872665
0.085013,-0.031652,-0.872665,0.872665
0.082298,-0.030264,-0.872665,0.872665
0.079410,-0.028883,-0.872665,0.872665
0.076364,-0.027512,-0.872665,0.872665
0.073177,-0.026153,-0.872665,0.872665
0.069868,-0.024806,-0.872665,0.872665
0.066454,-0.023473,-0.872665,0.872665
0.062955,-0.022157,-0.872665,0.872665
0.059390,-0.020857,-0.872665,0.872665
0.055779,-0.019575,-0.872665,0.872665
0.052142,-0.018313,-0.872665,0.872665
0.048498,-0.017073,-0.872665,0.872665
0.044869,-0.015854,-0.872665,0.872665
0.041273,-0.014660,-0.872665,0.872665
0.037731,-0.013492,-0.872665,0.872665
0.034260,-0.012352,-0.872665,0.872665
0.030880,-0.011241,-0.872665,0.872665
0.027609,-0.010161,-0.872665,0.872665
0.024462,-0.009116,-0.872665,0.872665
0.021456,-0.008108,-0.872665,0.872665
0.018605,-0.007139,-0.872665,0.872665
0.015923,-0.006214,-0.872665,0.872665
0.013424,-0.005334,-0.872665,0.872665
0.011117,-0.004504,-0.872665,0.872665
0.009012,-0.003728,-0.872665,0.872665
0.007117,-0.003011,-0.872665,0.872665
0.005440,-0.002356,-0.872665,0.872665
0.003985,-0.001770,-0.872665,0.872665
0.002756,-0.001256,-0.872665,0.872665
0.001754,-0.000822,-0.872665,0.872665
0.000980,-0.000473,-0.872665,0.872665
0.000432,-0.000215,-0.872665,0.872665
0.000107,-0.000055,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
-0.000000,-0.000000,-0.872665,0.872665
0.000000,0.000000,-0.872665,0.872665
0.000626,0.000626,-0.872665,0.872665
0.001252,0.001252,-0.872665,0.872665
0.001879,0.001879,-0.872665,0.872665
0.002509,0.002509,-0.872665,0.872665
0.003141,0.003141,-0.872665,0.872665
0.003777,0.003777,-0.872665,0.872665
0.004417,0.004417,-0.872665,0.872665
0.005062,0.005062,-0.872665,0.872665
0.005713,0.005713,-0.872665,0.872665
0.006369,0.006369,-0.872665,0.872665
0.007033,0.007033,-0.872665,0.872665
0.007704,0.007704,-0.872665,0.872665
0.008384,0.008384,-0.872665,0.872665
0.009073,0.009073,-0.872665,0.872665
0.009773,0.009773,-0.872665,0.872665
0.010482,0.010482,-0.872665,0.872665
0.011204,0.011000,-0.872665,0.872665
0.011938,0.011122,-0.872665,0.872665
0.012684,0.010853,-0.872665,0.872665
0.013445,0.010198,-0.872665,0.872665
